Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
C5,,22uF,C0805,,Select by Customer,CL21A226MAQNNNE,Samsung Electro-Mechanics,0805,22uF 25V X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C45783,https://jlcpcb.com/partdetail/46786-CL21A226MAQNNNE/C45783,Basic,2,2 JLCPCB,0.2348
"C6,C9,C10,C11,C12",,100nF,C0402,,Select by Customer,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,10,10 JLCPCB,0.031
"C7,C8",,10uF,C0805,,Select by Customer,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15850,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850,Basic,6,6 JLCPCB,0.4596
U18,,10uF,C0805,,Select by Customer,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15850,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850,Basic,6,6 JLCPCB,0.4596
"LED1,LED2",,17-21SURC/S530-A3/TR8,LED0805-R-RD,,Select by Customer,KT-0603R,Hubei KENTO Elec,0603,-40?~+85? 1.8V~2.4V 120° 20mA 300mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0603 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2286,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286,Basic,4,4 JLCPCB,0.0288
"R1,R4",,330?,R0805,,Select by Customer,0805W8F3300T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 125mW 150V 330? Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C17630,https://jlcpcb.com/partdetail/18318-0805W8F3300T5E/C17630,Basic,4,4 JLCPCB,0.0112
"R2,R3,R6",,10k?,R0805,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 10k? 125mW 150V Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,6,6 JLCPCB,0.0204
"R7,R8",,5.1k?,R0805,,Select by System,0805W8F5101T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 125mW 150V 5.1k? Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C27834,https://jlcpcb.com/partdetail/28584-0805W8F5101T5E/C27834,Basic,4,4 JLCPCB,0.0112
"SW2,SW3",,button,SW-SMD_L3.9-W3.0-P4.45,,Select by System,TS-1088-AR02016,XUNPU,"SMD,4x3mm","-30?~+80? 1.6N 100,000 cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,Basic,4,4 JLCPCB,0.2208
U5,,XT60-F,CONN-TH_XT60PB-F,,Select by System,XT60-F,Changzhou Amass Elec,-,-?Banana Connector Female Gold Plated Yellow - Power connector / plug connector,Plug,,C98734,https://jlcpcb.com/partdetail/Changzhou_AmassElec-XT60F/C98734,Extended,0,0 JLCPCB,0
